[E3EB7DD5AB2C08DA870C29085288FF54] GET http://localhost:3000/securite (Document)
[E3EB7DD5AB2C08DA870C29085288FF54] GET http://localhost:3000/login?error=SessionExpired (Document) 200
[10577.2] GET http://localhost:3000/_next/static/media/051742360c26797e-s.p.102b7f24.woff2 (Font) 200
[10577.3] GET http://localhost:3000/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 (Font) 200
[10577.4] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__ef31c63b._.css (Stylesheet) 200
[10577.5] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js (Script) 200
[10577.6] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js (Script) 200
[10577.7] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js (Script) 200
[10577.8] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js (Script) 200
[10577.9] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js (Script) 200
[10577.10] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js (Script) 200
[10577.11] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js (Script) 200
[10577.12] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js (Script) 200
[10577.13] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js (Script) 200
[10577.14] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js (Script) 200
[10577.15] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js (Script) 200
[10577.16] GET http://localhost:3000/_next/static/chunks/src_app_icon_svg_mjs_4169252f._.js (Script) 200
[10577.17] GET http://localhost:3000/_next/static/chunks/node_modules_7b2906af._.js (Script) 200
[10577.18] GET http://localhost:3000/_next/static/chunks/src_419c974a._.js (Script) 200
[10577.19] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js (Script) 200
[10577.20] GET http://localhost:3000/_next/static/chunks/src_1060630a._.js (Script) 200
[10577.21] GET http://localhost:3000/_next/static/chunks/node_modules_zod_v4_1267b87d._.js (Script) 200
[10577.22] GET http://localhost:3000/_next/static/chunks/node_modules_motion-dom_dist_es_8b3c32ce._.js (Script) 200
